2025-08-01 07:58:50 | INFO     | logging_config:__init__:37 | Logging system initialized with level: INFO
2025-08-01 07:58:59 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=system_cpu_usage (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6f560>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:00 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=system_cpu_usage (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6f8c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:02 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=system_cpu_usage (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6fc80>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:02 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: system_cpu_usage
2025-08-01 07:59:02 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=container_cpu_usage_seconds_total (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3c950170>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:03 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=container_cpu_usage_seconds_total (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3c950500>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:05 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=container_cpu_usage_seconds_total (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6f650>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:05 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: container_cpu_usage_seconds_total
2025-08-01 07:59:05 | WARNING  | prometheus_client:get_cpu_usage:193 | No CPU usage data found with any of the standard queries
2025-08-01 07:59:05 | WARNING  | prometheus_client:monitor_cpu_continuous:293 | Failed to get CPU data, using simulation
2025-08-01 07:59:05 | INFO     | prometheus_client:monitor_cpu_continuous:297 | CPU Usage: 0.503 at 2025-08-01 07:59:05.733111
2025-08-01 07:59:05 | INFO     | logging_config:log_cpu_usage:123 | CPU Usage: 0.503 (50.3%) from simulated
2025-08-01 07:59:05 | WARNING  | prometheus_client:process_cpu_reading:398 | ANOMALY DETECTED! CPU: 0.503, Expected: 0.716, Score: 2.349
2025-08-01 07:59:05 | WARNING  | logging_config:log_anomaly:184 | ANOMALY DETECTED [HIGH] - CPU: 0.503, Expected: 0.716, Score: 2.349
2025-08-01 07:59:10 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B5m%5D%29%29+%2A+100%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6ef60>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:11 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B5m%5D%29%29+%2A+100%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6ede0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:13 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B5m%5D%29%29+%2A+100%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3c950230>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:13 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: 100 - (avg by (instance) (rate(node_cpu_seconds_total{mode="idle"}[5m])) * 100)
2025-08-01 07:59:13 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=avg%28100+-+%28avg+by+%28instance%29+%28rate%28cpu_usage_idle%5B5m%5D%29%29+%2A+100%29%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3c950050>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:14 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=avg%28100+-+%28avg+by+%28instance%29+%28rate%28cpu_usage_idle%5B5m%5D%29%29+%2A+100%29%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3c950830>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:16 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=avg%28100+-+%28avg+by+%28instance%29+%28rate%28cpu_usage_idle%5B5m%5D%29%29+%2A+100%29%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3c950f50>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:16 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: avg(100 - (avg by (instance) (rate(cpu_usage_idle[5m])) * 100))
2025-08-01 07:59:16 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=cpu_usage_percent (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3c951280>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:59:17 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=cpu_usage_percent (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3c951670>: Failed to establish a new connection: [Errno 111] Connection refused'))
